ID,名人姓名,名人国籍,性别,发表地区,发表形式,事发日期,道歉时间,道歉原因,道歉原因归类,主要道歉对象,道歉对象所在地区,道歉人职业领域,发布平台,全文 简体,,,,,,,,,,,,,
146,孟美岐,中国大陆,女,中国大陆,文字,10/24/2021,10/25/2022,涉第三者,,,,演员 歌手,微博,从未想过介入他人感情，但是却造成了实质伤害，也对因此伤害到的人说一声对不起，也向一直支持信任我的粉丝们说声对不起，让你们失望了。最后也向关注此事的大家说声对不起，我会深刻反思！,,,,,,,,,,,,,
147,李晨,中国大陆,男,中国大陆,文字,4/21/2023,4/21/2023,性别歧视不当言论,,,,演员,微博,很抱歉因为节目游戏环节中追击情节的设定，贸然对朋友说了一句不该说的话，但对任何人都是尊重的，此事给大家造成了困扰，在此郑重道歉！谨言慎行，谨言慎行。,,,,,,,,,,,,,
148,蔡徐坤,中国大陆,男,中国大陆,文字,6/26/2023,7/3/2023,一夜情致女方堕胎,,,,歌手 演员,微博,"大家好，我是蔡徐坤。近日网络上出现关于我的诸多话题，很抱歉因此占用了大家的时间与关注。两年前我处于单身状态，与C女士有过交往，双方之间的私事已经在2021年妥善解决，彼此没有进一步的纠葛。

需要在此向大家和媒体澄清的是 ，我和C女士的交往均属双方自愿，既不存在“女方为未成年”的情况，也不存在所谓的“强制堕胎”，不涉及违法行为。恳请相关自媒体不传谣、不信谣。这个教训对我来说是惨痛的，这两年的时间里，我也在自责和懊悔中。再次向一直支持信任我的歌迷们道歉，向一直关注我发展与成长的媒体朋友们道歉。今后，我会严格约束自己的言行，接受大众和社会监督。也请大家尊重和保护当事人特别是C女士的个人隐私。",,,,,,,,,,,,,
149,李佳琦,中国大陆,男,中国大陆,文字,9/9/2023,9/11/2023,不当言论怼网友,,,,网红,微博,"今天没有用“所有女生”开头，因为李佳琦让大家失望了，在看这条微博的所有人，对不起。

我刚刚结束今天的工作，昨天我在直播间回应产品评论时，说了些不恰当、让大家不舒服的话。今天工作的时候我也一直在反思，在回想，如果我是评论里的那位女生，会多失望啊。

我本就是一个彩妆柜台销售员，深知大家的工作都是辛苦和不容易的。我说的话辜负了你们的期望，真的很抱歉。之所以没有立马回应，是我想结束工作后认真地向评论里的那位女生道歉，任何人都可以对直播间的产品提出意见和想法。我作为主播应该一直带给大家积极的正能量，并学会控制情绪。

一路走来，我知道大家的信任才是直播间最重要的基础。我也希望一直保持最好的状态陪伴大家，我会认真倾听大家的建议，用心服务好所有的消费者。

再次说声对不起，诚恳接受大家的批评。",,,,,,,,,,,,,
150,李佳琦,中国大陆,男,中国大陆,视频,9/9/2023,9/11/2023,不当言论怼网友,,,,网红,微博,"我是李佳琦。今天在直播间郑重的跟大家说一句对不起。因为前两天，我在直播间里回应了一位女生对产品的评论，我说的话非常不合适，让大家失望了。我不应该也没有资格站在个人的角度，随意的去评论任何一个网友。我认识到这种不恰当的表达是对他人的不尊重。任何人都有在直播间提出产品以及建议以及想法的权利。而我作为主播，也一定要尊重大家的表达的权利。
我之前也说过，李佳琦身上的羽毛，都是所有女生一片一片赋予我的。是所有女生的支持和信任，让我一步步走到了现在，有了现在的李佳琦直播间。无论什么时候，我都不应该忘记我来自哪里，也不应该迷失自己。这两天我一直在反省，也看到了大家在网上的讨论。对不起我让大家失望。
对于我的言论不当，我诚恳的接受大家一切的批评和建议。我会静下心来，深刻反思。我会想清楚，当时为什么要出发，要怎么做才能服务好更多的女生。所以在此感谢大家对我的批评和监督。",,,,,,,,,,,,,
151,铁头,中国大陆,男,中国大陆,视频 文字,10/9/2023,11/4/2023,不当言论,,东方甄选 董宇辉,,网红,抖音,"大家好我是铁头惩恶扬善，很郑重的、正式的在这里给东方甄选和董宇辉道歉。我在10月9号直播时声称：“故事是要钱的，你那份产品50块钱，那个故事可能就要40块钱。过期的毒鸡汤，听完以后觉得你提升了文化，毛都不是。”对以上言论，我非常的后悔和自责，我今后会自我反省，不会再做同样出格、不好的这些事情，希望网友及自我一起监督。
另外，东方甄选官网再今年3月31日声明，“网友购买的野生大虾，统一按法律法规进行赔付（退一赔三），联系客服即可，并且长期有效”，在此为东方甄选竖大拇指。",,,,,,,,,,,,,
152,苏小玎,中国大陆,男,中国大陆,文字,11/14/2023,11/15/2023,随地小便,,,,演员,微博,诚恳道歉，有错必改。我的行为给公众带来不良的影响，向大家道歉！对不起！感谢大家的批评和指正，我会深刻反思，今后严格规范自己的行为！再次向大家诚恳道歉！,,,,,,,,,,,,,
153,杜旭东,中国大陆,男,中国大陆,视频,NA,11/17/2023,为缅北犯罪分子祝寿,,,,演员,抖音,"大家好，我是杜旭东。最近网友们在白某的庆生视频中看到了我的祝福片段。事情源于很久之前的朋友之托。当时碍于情面，便配合录制了这个视频，我也没有查证此人的身份背景。对此我深感自责。我接受网友们的批评和指正。我已经深刻的认识到这种行为怼社会带来了不良的影响。这种失察的错误，辜负了广大观众朋友怼我的喜爱和信任。我与所有人一样，非常的痛恨且强烈抵制棉被电信诈骗集团的这种非法的行为。
今后，我定将以此为戒，严于律己，约束自己的言行举止，继续做一个敬职敬责的好演员。并愿意为国家反诈宣传贡献自己的绵薄之力。请广大网友及观众朋友们监督。
最后，再次为我的不当言行表示歉意。并且向所有支持我和监督我的朋友们表示感谢。",,,,,,,,,,,,,
154,王刚,中国大陆,男,中国大陆,视频,11/27/2023,11/27/2023,蛋炒饭视频涉侮辱英烈,,,,网红厨师,各大平台,"大家好，我是王刚。在视频的开头，先跟大家珍重的道歉：对不起。今天同事在5点钟的时候，发布了视频。这个视频对大家造成了非常大的困扰和很不好的体验。在这里，再次道歉：对不起。
这段时间，我在忙个人的事情，的确没有参与到视频的发布，这是我最大的过失。在这里，我向大家做两个保证：在未来的日子里， 第一，所有的视频我都亲自发布；第二，作为厨师，以后再也不做蛋炒饭，也不拍蛋炒饭。在这里，想请大家给我做一个见证。
其实，我外公在很小的时候，就经常给我灌输，做人要踏踏实实的做事。我外公也是一名志愿老兵。他在朝鲜呆了六年。他在我心目中是非常神圣的圣人。我从小也有一个梦想，想当兵。我在17岁那年回来兵检，因为背上有个疤，没有过，我觉得这是我最大的遗憾。我的外公，他对我从小的要求就非常高。就是做人要坦坦荡荡。做错了就承认并改正。其实在我心目中，军人是无比的神圣、高大。在我的公司，跟我的同事，跟我最久的同事，他们其中一大部分人都是军人。是因为我觉得军人能代表安全感，责任感和使命感。
今天这个事情，是我的错，在此郑重道歉：对不起。以后请大家监督我。
最后再次谢谢各位粉丝的指教和提醒，对不起！",,,,,,,,,,,,,
155,孙东旭,中国大陆,男,中国大陆,视频,12/12/2023,12/14/2023,处理小作文风波不当,,,,企业家,抖音,"今天我来向广大网友道歉，前天我直播解释东方甄选问题的时候，从神态语气表达都有点咄咄逼人，把手机放在桌上的动作也好像摔下去的样子，这种样子非常没有风度和气度，让广大网友误以为是十分不敬的粗暴行为，尽管是因为连续几天没有休息，内心焦虑导致的动作僵硬和失控，但这不是理由，我在这里真诚道歉。

请大家相信我，不是故意的，以后一定认真改正，另外我也为提到董宇辉的薪酬这样不职业的行为，向大家也向董宇辉表达歉意，同时我说东方甄选，拒绝饭圈文化，并不是说东方甄选的粉丝是饭圈，而是真心不希望少数人的不理性带节奏，影响到东方甄选的健康环境，如果我的表达引起大家误解，也向大家表示道歉。


网友粉丝是我们的衣食父母，我们一定更加努力为大家提供更加完善的服务，我会时时警醒告诫自己努力提升自己的格局和胸怀让自己成为一个合格的管理者不辜负大家的厚爱和宽容谢谢大家。",,,,,,,,,,,,,
156,俞敏洪,中国大陆,男,中国大陆,视频,12/12/2023,12/16/2023,处理小作文风波不当,,,,企业家,抖音,"近阶段来，由于网络舆情问题，东方甄选直播间用不恰当的方式，屏蔽拉黑了一些提意见和建议的网友朋友，这是极其不恰当的做法。我已经对于这一错误提出了严厉的批评，并就此事向广大网友进行道歉!被拉黑的网友朋友已经被全部解除，欢迎你们继续对东方甄选的发展提出建设性的意见和批评。相信我们会把东方甄选建设得更好！感谢大家的包容和支持！
",,,,,,,,,,,,,
157,程前,中国大陆,男,中国大陆,视频,1/10/2024,1/10/2024,与嘉宾言语互怼,,,,网红,微博,"很抱歉，大家。

本来是私下跟几位前辈说抱歉的，但是这几天网上的新闻，让我觉得我得公开说声抱歉。让大家失望了，回过头看这个错误，他自己都觉得是不可原谅的。

最近几天每天都在反思，自己怎么能犯一个如此低级的错误。创业、做事，日复一日一直告诉自己，谦虚务实，如果以前设想在人生路上会犯一万种错误，但是，打死也不会想到是会以这种方式。这么的公开。我看到大家讲，没品、没德行、没修养、不专业，真的很抱歉，让大家失望了。

我去看回放，跟大家的感受是一样的。很难想象也很难承受，那个人就是自己。但是很遗憾，那就是我。因为当天下了台以后，几个很好的朋友打电话问我，程前你这是吃错药了吗。活动结束后，看到团队，那一刻我也就清醒了，因为从团队眼神里都能读出来，他们傻眼了。然后，合伙人哈哈一笑，拍拍我，“你今天失态了啊”。感谢团队对我的理解和包容吧。

那天回到酒店后，我先是给几位前辈发信息抱歉，尤其是对冯仑老师的歉意，他回复我说：“程前，你有你自己的坚持挺好的，谁还没有年轻过。”感谢冯仑老师的宽慰和包容。

这几天不断的回看年终秀的回放内容，为什么自己有那么大的情绪。是因为前半场活动内容跟你想的不一样，还是因为你写的演讲稿上台念稿。这会儿来看没有对错。每个人都有自己的看法和坚持，但是，何至于恼羞成怒，失态失礼，甚至到人身攻击呢，虽然这绝不是我的本意，但是回过头看大家的评论和解读，说我人身攻击。其实我回看我自己都觉得是有这种因素的呀。这里也向周鸿祎周总诚恳地说声抱歉。这绝不是我的本意。

当然可能也不是简简单单地，我发个信息就能够表达歉意的。这些前辈都是我从小看着他们的各种新闻故事长大的。在创业路上其实一直都是自己的意识当中的目标，领路人，一直也在影响着我自己。

所以，这些天是各种复杂的情绪吧。以前听人家讲，愚昧之巅，绝望之谷，开悟之坡。今天这个体会太深刻了，什么是愚昧之巅。但你只能吸取教训，再向前看，再向前走。我知道前面可能是一个错误再接着一个错误在等着我。不过我只是觉得作为一个晚辈，在这样的场合，闹的这么一大通，让大家看笑话是小，造成了极其不好的影响。这也违背了我做事情的初衷，更违背了我创业的初衷。因为我们是希望自己可以不断地发现、传递有正向价值和影响力的内容的。

2024年刚开年，就有这么个开场，我自己也没想到。我会回到我的工作上，把自己没有做好的，我去把它做好。到现在我想对关心我的朋友们，说感谢大家的关心，我会继续加油。这几天不断对我的问题进行指正的朋友，我想表达感谢，每一条评论信息我都认真吸收了。最后再次给几位前辈致歉，再次表示歉意。",,,,,,,,,,,,,
158,王局,中国大陆,男,中国大陆,文字 视频,1/20/2024,1/26/2024,涉侮辱残障人士不当言论,,,,记者,youtube,"首先第一个道歉的
就是民进党的那位立法委员的候选人
姓陈，陈律师，我在这里要正式给他道歉
其实我们这两天一直在找陈律师的联系方式
我让我台湾的助理找他的联系方式
昨天只找到了公共电话，没有联系上
今天上午的时候
我的助理也专门跟他的助理联系上了
我向他表达了这个意思
就是我们希望能够跟陈律师直接做一个通话
我们来给他表达对他的歉意
因为我在《贺珑夜夜秀》那个节目中间
我虽然目的是为了批评民进党通过作秀的方式
利用残疾人作秀的方式来进行情感动员，来拉票
但客观上来讲
我承认我在现场中间有一个肢体动作在模仿残疾人
虽然我也没有说陈律师的名字
但陈律师事后在接受媒体采访的时候
他说他感到非常不快，他觉得他受到了冒犯
所以我们想找到陈律师亲自给他道歉
但是陈律师的助理不同意
他不愿意让我跟陈律师直接沟通
他说我不需要给陈律师道歉
我需要给台湾所有残障人士道歉
所以我今天就通过我自己的节目
公开给陈律师本人道歉
就是我这个用肢体来模仿一个残疾人
通过这个来批评民进党来造势的方式是不妥当的
同时我也给所有台湾的残障人士来道歉
如果我在节目过程中间
这种模仿残障人士的肢体动作冒犯了你们
我诚恳地给各位道歉
我本人不是一个歧视残疾人的人
我过去所有的节目，我自己所有的记者生涯
都是在帮助那些弱势群体
在跟权力者争取权利
我没有任何理由
去嘲笑讽刺歧视残疾人群体或者残障人士
其实我那一天的节目的本意是心疼残疾人
大家如果看过我1月12日
在凯道造势晚会现场的那段陈述就知道了
因为当时我看到了陈律师在台上讲了六七分钟
我觉得特别残忍
我觉得这种方式对残疾人不尊重
如果你录一个视频把它放到网上的话
放到现场的话
同样可以达到目的嘛
但是因为陈律师这样的一个身体状况
有人甚至说他一个感冒都有可能失去生病
我觉得把他放到台上不合适
所以我是这样一个立场
我本人没有任何歧视残疾人的这样的一个动机
所以我在这里不是辩解
我就是只是说我自己没有这个动机
但是陈律师如果觉得冒犯了
我还是要诚恳地给他道歉
不过我这里头还想说一点
因为陈律师本身是民进党的立法委员的候选人
虽然说他现在没有当选
但同时我也看到了他是哈佛大学毕业的好像是民权律师
我也在这里希望陈律师
能够对民进党只谴责
我在节目中间对残障人士
或许有这种冒犯的这样的一个举动
予以谴责这种行为
我希望他也能够把眼界放得更大一点
我说这话什么意思呢
大家都知道
我那天参加《贺珑夜夜秀》的时候
那主持人就说“支人支语”，说“支那”
说中国大陆是“支那”
但是实际上“支那”这个词
从中国大陆人的眼光看100%是属于一种歧视类语言
那么既然陈律师是一个人权律师
我也希望他能够对这样的一个行为也能予以谴责
因为既然保障权利
也应该保障残障人士的权利的同时
也保障其他作为族群的人不被歧视
虽然说我们中国大陆人现在在台湾
可能都被当做外国人
但是外国人的权利
是不是也应该得到充分的保障呢
台湾是一个民主社会，是一个法治的社会
我们都把台湾当做是华人之光
那么台湾是不是也不应该
把我们这些来自于中国大陆的这种歧视性的语言
随便地在节目中间表达
然后只表达了对某一种内容的这种谴责
对这种的就视而不见呢
我觉得这也不对
当然
这只是我对陈律师的一个期望啊
他是否愿意我都不在意
这是第一点
第二点，说句心里话
我对《贺珑夜夜秀》节目挺歉意的
为什么呢
因为我当时为什么愿意参加这个节目
我是觉得其实作为一个脱口秀节目
它在台湾还是有比较大的言论尺度
我当年在大陆参加过一期脱口秀节目
那个节目叫《恶毒梁欢秀》
我上完节目之后不久这个节目就被中共封杀了
中共大家都知道，控制言论
不允许你随便开玩笑
所以脱口秀节目在大陆怎么可以生存呢
所以我就认为
其实我上台湾的脱口秀节目
言论尺度可以大一点
所以我愿意在这样的节目中间
表达我对台湾社会的一些理解和看法
但是我毕竟给《贺珑夜夜秀》节目带来了非常大的麻烦
我知道这节目播出之后
有很多台湾网民开始“出征”（声讨）《贺珑夜夜秀》
在社交网站上既“出征”《贺珑夜夜秀》的节目组
同时又“出征”他们的主持人
很多支持这个节目的业配、广告商开始纷纷撤资
我特别熟悉这一套
它非常类似于大陆那些艺人踩了红线之后
或者一不小心误触了某一个线的时候
那些厂商纷纷跟他们中断代言合同的那种场景
说句心里话
我看着心里挺不是滋味
为什么呢
因为我知道这样的一个节目组
它就是靠这些广告和业配活着
如果要是没有这业配了
那么可能这些节目就没办法生存下去了
所以从我内心的角度来讲
我挺过意不去的
因为毕竟是我这个个人
给《贺珑夜夜秀》节目组带来的这么一个麻烦
所以我在这里也要对《贺珑夜夜秀》节目表达一点歉意
第三个方面我就想表达一下对民进党的歉意
我其实昨天的节目本来还想跟民进党战斗
现在看来我改主意了
我不战斗了，我对民进党表达歉意
民进党，就代表了台湾民主，还代表了台湾民意
我在节目中间讽刺民进党
用作秀的方式选举造势
我又是一个外国人
一个来自中国的外国人
对台湾的民主制度说三道四批评民进党
我说句实在话，实在是有点自不量力
尤其我还在节目中间说中华民国代表中国
那不就是说民进党这些人都是中国人吗
那你想想人家民进党
从来就是认为中国是中国，台湾是台湾
他们的总统候选人，现在已经是总统当选人赖清德
都说《中华民国宪法》是灾难
我还把《中华民国宪法》表述的内容在节目中间讲出来
这确确实实非常不对
我所以我这两天也反思
我真的对不起民进党
我其实到台湾之后就应该歌颂民进党
它是整个台湾民主制度
不但是华人之光，还是世界之光
还是亚洲之光，还是宇宙之光
就是跟那个法轮功一样都是宇宙之光
这才对啊
我怎么能批评台湾呢
我怎么能批评民进党呢
我作为一个从来没有选举过的人
从中国来的人
我怎么能对台湾的选举制度指手画脚呢
太不自量力了
我从台湾回来的时候
我还曾经深情地写了一个帖子
我说，“我这次去台湾感觉特别温暖”
“因为有很多台湾人给了我那么多帮助”
“让我见识到了那么多的善良”
是不是警察来了要抓我呀
我说，“我是一个来自于中国大陆的人”
我在台湾看完选举之后
我说，“所有讲中文的地方都是我的故乡”
言下之意我是说台湾也是我的故乡
我大陆回不去了，我至少还有台湾
可现如今台湾我也回不去了
可能我对台湾社会饱含深情的这段陈述
在很多人看来多多少少都有点自作多情
不过我最后还是要讲
我还是希望台湾社会能够变得更好
我还是希望终有一天我还可以回到台湾这片土地
能够在台湾再吃一点小吃
能够在台湾喝一碗豆浆和油条
好了，说了这么多
祝福台湾吧
祝福所有关心台湾的人
",,,,,,,,,,,,,
159,马卉,中国大陆,女,中国大陆,视频,3/14/2024,3/16/2024,直播“不雅曝光”乌龙,,,,主持人,微博,大家好，我是马卉。首先对于占用公共资源给大家带来了困惑，倍感内疚和不安，我为此深表歉意。我非常真诚地接受大家对我的批评，并且在今后的工作中严格遵守国家各项规定，不再发生类似的“乌龙事件”。关于最近网络盛传的不雅照事件，其实是我收藏的一幅油画。因为我本人非常喜欢油画创作，也喜欢收藏油画，遇到喜欢的油画呢喜欢拍照留念，所以出现了直播当中的乌龙事件。大家都知道，油画起源于15世纪以前的欧洲，是欧洲主流艺术文化的表现形式之一，在全球范围内广受欢迎。我相信有很多的朋友像我一样，非常喜欢油画创作，非常的热爱艺术。但是，由于我个人忽略了直播平台的规则，因为我个人的失误，导致在直播的过程当中不小心露出，造成了不必要的误解，为此我深表歉意。也请大家能够理性地看待问题，不要以偏概全，不要断章取义。今后我会时刻注意自己在公众平台的一言一行，传递正能量。温暖你我他。当然，喜欢油画的朋友，欢迎来参加我的PinkH，我的个人油画展，我创作的油画Pink系列分享给大家。最后，感谢大家的支持和厚爱。,,,,,,,,,,,,,
160,老高,中國,男,YT,影片,7/21/2023,8/21/2023,被指控抄襲腳本，卻為了洗衣機噪音道歉，很幽微XD,,觀眾,,youtuber,YT,「由于本人的疏忽，录制影片时忘记关洗衣机，造成影片有些许噪音，在此表达歉意。此外从本影片开始，本频道所有影片的参考资料，皆会在影片说明栏中进行标注，我们也会尽量满足大家的所有要求谢谢。」,,,,,,,,,,,,,
201,林曉培,台湾,女,台灣,現場（被害人家中，有記者拍攝,,6/9/2007,酒駕撞死人,,,,艺人,现场,我做得到的我一定做，我很有诚心的道歉，阿伯，真的，真的请你原谅，真的对不起。,,,,,,,,,,,,,
202,溫妮（黃于恩）,台湾,女,台灣,文字,6/8/2014,6/14/2014,馬拉松假跑,,社會,台灣,艺人,脸书,对于这次NIKE的We run TPE路跑，因为我自己的失误而造成大家的疑问以及讨论，我觉得很抱歉。这几天大家的留言我都有看到，谢谢你们对我的指正以及鼓励。往后我会更努力的做好每一件事情。未来有相关的路跑活动，我还是会继续参与。对不起大家，也谢谢大家。谢谢。,,,,,,,,,,,,,
203,柯震東,台湾,男,台灣,记者会,8/17/2014,8/29/2014,大麻,,社會,,演员,新闻媒体,"很抱歉，对不起。这件事情我犯错误，没有理由、没有原因，也没有借口，我就是错了。  三年前，我出道，让大家知道柯震东三个字，我很幸运，也很幸福，很多人给我很多演出机会，很多厂商也愿意相信我，让我跟他们合作，我非常顺遂。但我从来都不知道「柯震东」这三个字一直以来都不属于我一个人，这三个字属于很多很多支持我的、爱我的人，我不知道这三个字影响力是我没有想像到的。

从事情发生以来到现在，我最难过、最担心的是因为我个人自私的行为、愚蠢的行为，给我的家人受到极大的压力，我的父母和哥哥都非常非常难过，非常非常的心疼，对他们非常抱歉。

这件事情的影响力是我一直以来都没有想过的，柴姐和这三年来与我一起工作的伙伴，甚至导演、演员、剧组、厂商，他们对我很信任，到现在的失望，我没有想过会让我这么难过。我对他们非常非常的抱歉。但是我自己错了，没有任何理由，必须去面对它，面对错误，产生错误，最重要的就是改正这个错误。

这几天以来我想了很多，世界上没有后悔的药，只有愿不愿意改错，我愿意改错，因为我不想再让任何爱我的人和我爱的人难过的表情，我真的很对不起他们。

我想对支持我的粉丝说，我让你们失望了。我做错了，非常非常不对，违法的事情，千万不要学习。我不希望传递这样负面的能量给你们，但却发生这样的事情。我会非常努力的改正，绝对不会再犯一件违法的事情。我会继续努力地改正自己，每一天都让自己有一点点成长。我知道这件事情就像一个丑陋的疤一样，会在我身上一辈子，但它在我身上，我可以随时看到它，记得犯错的痛苦。

所以，请大家还有所有认识我的人和我认识的人，都不要做任何违法的事情，我会努力传递正能量给大家，我会努力让自己更好，还有机会传递正面的能量、正面的讯息给大家。

对不起大家，对不起所有的人，我做了最坏、最不良的示范。为了这些人，我会很勇敢，让自己越来越好。对不起！谢谢大家！
",,,,,,,,,,,,,
204,阿基師,台湾,男,中国大陆,记者会,9/11/2014,9/12/2014,代言食品出問題,,,,厨师,新闻媒体,谢谢大家，拍谢拍谢，我说跪着道歉嘛，就跪着道歉，不好意思，对不起，我错了，我绝不掉眼泪，这是一个负责任的表现，我们所有全台湾的民众朋友，这么样的一个不幸的事情呢，阿基师没有任何怨言，我不会推拖，那我期待，我还是选择我的好帝一食品公司，我选择我这么一个代言的商家，要不然我们以后怎么办？我不能够因为这么样一点点的小不幸，然后就说台湾到底怎么了？其实台湾还是很棒，希望大家总是有那么一个小挫折，大家就当成给自己学习吧！那以后我自己这边呢也还会更努力的去督促自己，我应该要怎么办？怎么办？请大家以后继续给我机会，谢谢，不好意思，对不起，真的对不起，我有愧大家了，谢谢、谢谢。这样OK了吗？好朋友，多谢，谢谢，拍谢拍谢拍谢，我觉得应该要做的，人的诚信是很重要的。,,,,,,,,,,,,,
205,李蒨蓉,台湾,女,台灣,文字,3/29/2015,4/5/2015,違規登軍用直升機炫耀,,社會、軍隊,台灣,演员,新闻媒体,"对不起，我错了。我要为我第一时间的失言、不当态度，向社会大众全国人民致上最深最深最深的歉意，我希望大家能够给我一个改过自新的机会，恳求大家的原谅，对不起我错了。

我要向全国的军人致上我无尽的悔意跟万分的抱歉，我真的非常非常抱歉，很对不起大家。

因为我的PO文导致国军形象受损，连累了这么多的弟兄长官们，我真的内心抱歉，不知道要用什么言语形容，我希望将来如果有机会能够弥补，我愿意竭尽所能的去做，也愿意当国军的志工，在此请国军们接受我最深的歉意，深深一鞠躬。


最后我要再次为我的错误行为不当示范，向全国人民至上我最深最深无尽的歉意。经由这次事件，我学到了国家安全法的重要，我也希望藉由我的教训，让社会大众知道国家安全法保密的重要性。国家安全人人有责，也希望为这次风波造成任何社会资源浪费，再次跟大家说声抱歉，恳求大家原谅，真的非常非常对不起。

我也希望所有相关人士，还有这次风波能够尽快平息。",,,,,,,,,,,,,
206,陶喆,台湾,男,台灣,記者會,6/29/2015,7/7/2015,出軌,,太太、家人、歌迷,台灣,歌手,新闻媒体,"大家好，首先要感谢所有的媒体朋友们今天在百忙之中赶来这边参加这个说明会。其实我很早就想要出来做一些说明了，可是当时我认为真的有太多更重要值得我们去关注和关心的事件，所以我真的不想浪费媒体资源。今天我还是认为，如果可以的话，还是做一个简短说明。

虽然这件事情并不是那么单纯，但有一件事情是确定，那就是我在婚后的确有出轨的行为。对此这件事情我感到非常的羞愧。我做错了。在这里我想要正式的向我的太太Penny、我的岳父岳母，还有我母亲，还有一路支持我的亲朋好友们，还有我的歌迷朋友，致上我最深的歉意。

我与杨小姐确实是在2010年认识，也像之前的声明当中，在婚前有过交往的关系，而婚后除了偶尔的一些短讯的联络，唯一的一次见面就是在今年的6月19日在成都，这次见面也就是造成了出轨的主因。我不会逃避，无论事情是怎么样发生的，或为什么发生的，我都是做错了，对于这件事情，我觉得非常的抱歉、羞愧。

这件事情发生了之后我已经向Penny，我岳父、岳母、还有我母亲做了完整的说明。一切的事情他们全部都知道。我知道他们非常的生气。甚至于一开始可能不能相信，他们非常的难过，他们对我非常的失望。可是最后他们还是选择了原谅我。 Penny，谢谢你，原谅我。岳父岳母，我让你们丢脸了。妈妈，我也让你失望了。可是谢谢你们，没有离开我，一直对我的关爱。谢谢。
虽然这件事情是一件私事，但身为公众人物，我也有责任要出来面对，跟大家做说明。我做了错误的示范，我也在这里，向所有支持我的朋友爱护我的朋友们道歉，我再一次要感谢所有在这段时间支持我的朋友，歌迷朋友们，还有身边的工作人员，你们都辛苦了，谢谢。接下来的时间我就交给我们委任的邵律师来做一些说明，谢谢。",,,,,,,,,,,,,
207,周子瑜,台湾,女,JYP官網,視頻,1/8/2016,1/15/2016,不当台独言论,,中國,中國,歌手,微博,"大家好，我有话想对大家说。大家好，我是周子瑜。
对不起，本应该早些出来道歉，因为不知道如何面对现在的情况，一直不敢直接面对大家，所以现在才站出来，中国只有一个，海峡两岸是一体的，我始终为自己是一个中国人而感到骄傲。
我作为一个中国人，在国外活动时，由于言行上的过失，对公司、对两岸网友情感造成了伤害，我感到非常非常抱歉，也很愧疚，我决定中止目前中国一切活动，认真反省，再次再次向大家道歉，对不起。",,,,,,,,,,,,,
208,歐陽妮妮,台湾,女,台灣,記者會,6/20/2016,6/25/2016,考試作弊,,社會、家人、老師,台灣,演员,新闻媒体,"对不起让大家失望了，
首先我要先跟社会大众对不起，
身为公众人物做了这么不对的事情。
爸爸妈妈在知道事情的第一时间就很严厉地斥责了我，
爱我的家人、朋友、师长、粉丝朋友们， 对不起，让你们失望了，真的对不起。
我自己的错我自己会承担，
希望这件事情不要牵连到任何其他的人。
经过两天深刻的反省，深刻的体会，
犯错没有理由、没有借口。
我会继续反省我自己，检讨我自己，
对于学校的处罚我也都会接受，
让大家辛苦真的不好意思。我会更好。
谢谢大家。
",,,,,,,,,,,,,
209,秦伟,台湾,男,台灣,記者會,6/29/2016,7/7/2016,性侵,,,,艺人,新闻媒体,"首先，要向多年前曾交往过的对象，因为以前感情观的偏差所得罪之处，表达最深最深的歉意以及祝福，我也希望尽我最大的可能，去协助所有受伤的心灵，而对于个人感情私领域的陈年往事，所带给社会大众的负面观感，我再一次诚挚地道歉。

我这几天一直都在台湾，不是不出面回应，而是每天的新闻让我重新去想，虽然我没有性侵，也没有利用教会长辈诈财，不少资料也与事实出入，我也愿意全力配合检调侦查，但为什么仍有不少人出面指责，包括粉丝、离职员工，甚至交往过的对象等等。

我突然警觉到我的人生真的要彻底改变，才对得起原先支持我的人，进入演艺圈25年，虽然不烟不酒不毒，而是在感情的路上有极大的问题，其实2年前重返信仰，我还是要彻底地翻转改变，虽然这几天媒体报导已经对我个人造成很大伤害。

但是我感谢你们，我真的感谢你们，让我重新省思我自己，我不是虚情假意，我谢谢所有批评我的人，是你们让我成长，也感谢上帝，是祢给我一个让以前的过错彻底改变的机会，对不起真的对不起。

请原谅过去感情偏差的秦伟，或许我无法取得所有人的原谅，但是我一定会牢记这几天，大家对我的批评跟指教，从今起我会更谨言慎行，大家有需要我配合的地方，我都会努力去做，不好意思台风天让大家跑一趟，再次谢谢大家。



原文网址: 快讯／秦伟爆哭鞠躬道歉！ 「请原谅过去感情偏差的我」 | ETtoday星光云 | ETtoday新闻云 https://star.ettoday.net/news/731235#ixzz8XD4aMv79
Follow us: @ETtodaytw on Twitter | ETtoday on Facebook",,,,,,,,,,,,,
