"","Id_name","name","text","line_id"
"1",100,"高晓松","对不起",1
"2",100,"高晓松","永不酒驾",2
"3",100,"高晓松","",3
"4",101,"张默","给大家道歉，我错了",1
"5",101,"张默","对于自己的错误行为，我非常悔恨，也没有任何借口为自己的错误开脱",2
"6",101,"张默","我对不起家人，对不起各位长辈",3
"7",101,"张默","对不起公司同仁",4
"8",101,"张默","对不起喜欢和支持我的朋友们",5
"9",101,"张默","感谢看守所的干警对我的帮助",6
"10",101,"张默","恳请大家原谅我所犯的错误，给我一次改过的机会",7
"11",101,"张默","对不起，真的对不起",8
"12",101,"张默","",9
"13",102,"高晓松","我在第一季说汉人对传统音乐没有热情，赞扬蒙古民族能歌善舞时，也被汉族同胞骂是汉奸、数典忘祖",1
"14",102,"高晓松","建议在我这骂了3天的蒙古同胞把火力对准歌颂抗蒙抗元英雄的作品，那里竟然写蒙古人屠杀奸淫奴役汉人",2
"15",102,"高晓松","不过我相信草原民族辽阔的胸怀，不像我们汉人(心胸)狭隘",3
"16",102,"高晓松","",4
"17",103,"高晓松","诚恳道歉，看了很多评论认识到蒙元文化源远流长博大精深，当初建北京起的那些地名只是不符合汉族士大夫琴棋书画趣味而已，本身就是一种文化",1
"18",103,"高晓松","感谢很多蒙古族同胞在评论里的教育（骂也理解），恳请不要在下面对骂，都是有过伤痛的民族，大家一起向前看",2
"19",103,"高晓松","本想戏说故乡北京的地名，没想到，对不起",3
"20",103,"高晓松","",4
"21",104,"张艺谋","其实我自己常常也反省，我作为一个电影导演，其实，辛辛苦苦用作品，在社会上，为自己建立的信誉和影响是很艰难的，要很多很多的好作品留给大家，大家才认可",1
"22",104,"张艺谋","我辛辛苦苦所建立起来的，大家对我的信任和期待，（由于）超生这件事情，对我造成极大的损害和损伤",2
"23",104,"张艺谋","我自己是很诚恳的，为超生这件事情，向所有人道歉",3
"24",104,"张艺谋","我做错了就是做错了，我不会怪别人，我汲取教训",4
"25",104,"张艺谋","我现在愿意全面配合无锡计生委的调查，尽快地使这个事情有一个结果",5
"26",104,"张艺谋","",6
"27",105,"黄海波","各位好",1
"28",105,"黄海波","事发至今，恍若隔世",2
"29",105,"黄海波","关于我的事情终于可以亲自向大家有所交代",3
"30",105,"黄海波","真诚地向全社会说一句：对不起",4
"31",105,"黄海波","身为一个公众人物，我做出了错误的示范，愧对于观众朋友们的喜爱支持，也给合作伙伴们带来了重大损失和诸多困扰",5
"32",105,"黄海波","事已至此，所有对我的惩罚，我全盘接受",6
"33",105,"黄海波","未来，我将会用很长一段时间来反思和沉淀自己，并用实际行动回馈社会",7
"34",105,"黄海波","",8
"35",106,"陈赫","我错了",1
"36",106,"陈赫","",2
"37",106,"陈赫","求大家放过我们，狂风暴雨的三天，我从来没有经历过的疯狂和崩溃",3
"38",106,"陈赫","",4
"39",106,"陈赫","对不起，对不起我向所有人隐瞒了我离婚的事",5
"40",106,"陈赫","",6
"41",106,"陈赫","我和许婧签署离婚协议已经快半年了",7
"42",106,"陈赫","我们是和平分手的，没有任何其他事情",8
"43",106,"陈赫","",9
"44",106,"陈赫","14年的感情不容易，真的不容易",10
"45",106,"陈赫","很美好，很珍贵，很重要",11
"46",106,"陈赫","但这个世界上没有任何一件事是可以那么完美",12
"47",106,"陈赫","我们互相都很努力去让这个家更好，可是因为我们生活的圈子越来越远，我的工作无法抗拒的越来越忙",13
"48",106,"陈赫","很多事真的就让你无法去维护",14
"49",106,"陈赫","",15
"50",106,"陈赫","我去年一整年最多也就休息了十天",16
"51",106,"陈赫","很多工作是无法拒绝的，太多的人情世故",17
"52",106,"陈赫","最多的时候卡着3部戏",18
"53",106,"陈赫","别说回家，我就连看她一眼都很难",19
"54",106,"陈赫","这对她是不公平的",20
"55",106,"陈赫","我们之间连最起码的沟通都很少了",21
"56",106,"陈赫","这些都是我的错",22
"57",106,"陈赫","",23
"58",106,"陈赫","其实我不应该说这些，家家有本难念的经，我相信所有恋爱过的人你们一定都会懂",24
"59",106,"陈赫","每段感情都不可能是完美的，一定是要两个人的付出和牺牲",25
"60",106,"陈赫","但如果坚持不下去，累了，再坚持下去变成一种痛苦和煎熬，还要继续吗？一定要继续吗？",26
"61",106,"陈赫","有的时候放手不一定是最坏的选择",27
"62",106,"陈赫","这个决定很艰难，真的很艰难",28
"63",106,"陈赫","真的真的很痛苦",29
